Id,Label,timeset,frequency,modularity_class
Kilogramm,Kilogramm,,149,15
Social Media Links,Social Media Links,,149,6
dicke Schicht Käse,dicke Schicht Käse,,148,76
Schicht Käse,Schicht Käse,,148,76
teilenSchwierigkeiteinfachPro Portion,teilenSchwierigkeiteinfachPro Portion,,145,15
Inhalt teilenSchwierigkeiteinfachPro Portion,Inhalt teilenSchwierigkeiteinfachPro Portion,,145,15
Inhalt teilenSchwierigkeiteinfachPro PortionFür,Inhalt teilenSchwierigkeiteinfachPro PortionFür,,126,15
Fehler,Fehler,,125,52
Hefe,Hefe,,124,37
Pizza,Pizza,,120,74
Schüssel,Schüssel,,106,42
Lachs,Lachs,,780,48
längs halbieren,längs halbieren,,564,48
Scheiben,Scheiben,,511,48
halbieren,halbieren,,440,48
feine Streifen schneiden,feine Streifen schneiden,,400,48
Salzwasser,Salzwasser,,398,48
entkernen,entkernen,,394,48
kalt,kalt,,368,48
Lachs auftauen,Lachs auftauen,,356,48
abbrausen und trocken,abbrausen und trocken,,356,48
Lachs auftauen lassen,Lachs auftauen lassen,,356,48
kalt abbrausen,kalt abbrausen,,356,48
längs,längs,,356,48
Kartoffeln,Kartoffeln,,239,48
Pastinaken,Pastinaken,,190,15
Pastinaken schälen,Pastinaken schälen,,190,15
Salzwasser bissfest,Salzwasser bissfest,,174,48
Wohlbefinden,Wohlbefinden,,681,14
Kraft,Kraft,,603,18
Themen,Themen,,532,21
manchmal ganz schön,manchmal ganz schön,,439,12
Beschwerden,Beschwerden,,417,57
auftauen,auftauen,,385,48
Leute,Leute,,374,53
Kind,Kind,,325,39
Gefühle,Gefühle,,320,36
System,System,,299,74
Veränderungen,Veränderungen,,278,12
Seite,Seite,,256,89
Waschmaschine,Waschmaschine,,237,56
Madeleine Darya Alizadeh,Madeleine Darya Alizadeh,,234,12
Laufenden bleiben,Laufenden bleiben,,214,12
Angst,Angst,,213,40
Kindern,Kindern,,211,25
Zutaten,Zutaten,,188,7
abends,abends,,184,12
Bereichen,Bereichen,,183,12
geboren,geboren,,178,80
Interior Trends,Interior Trends,,178,12
Aktuelle aus Beauty,Aktuelle aus Beauty,,178,12
schön schnell,schön schnell,,178,12
Toilette,Toilette,,173,75
Haushalt,Haushalt,,170,52
Geschirr,Geschirr,,166,24
Dinge im Haushalt,Dinge im Haushalt,,154,52
schnell,schnell,,143,7
Eigenschaften,Eigenschaften,,136,12
Songs,Songs,,131,108
Schlaf,Schlaf,,123,42
Mikrowelle,Mikrowelle,,122,7
glaube,glaube,,121,12
Darya Alizadeh,Darya Alizadeh,,117,12
Darya Alizadeh Polizistin,Darya Alizadeh Polizistin,,117,12
